id,indonesia,english,created_at
114,Jangan lupa membawa tabir surya saat liburan.,Do not forget to bring sunscreen during holidays.,2026-07-21 00:00:00
115,Saya ingin mencoba kuliner lokal di pasar malam.,I want to try local cuisine at the night market.,2026-07-21 00:00:00
116,Penerbangan kami ditunda selama dua jam.,Our flight was delayed for two hours.,2026-07-21 00:00:00
117,Stasiun pengisian daya baterai ada di sana.,The battery charging station is over there.,2026-07-21 00:00:00
118,Kami membeli tiket masuk secara daring.,We bought the admission tickets online.,2026-07-21 00:00:00
119,Taksi online sangat mudah ditemukan di sini.,Online taxis are very easy to find here.,2026-07-21 00:00:00
120,Simpan barang bawaan Anda di tempat yang aman.,Keep your luggage in a safe place.,2026-07-21 00:00:00
121,Metode penelitian harus dijelaskan secara rinci.,The research method must be explained in detail.,2026-07-21 00:00:00
122,Tinjauan pustaka mendukung landasan teori.,The literature review supports the theoretical foundation.,2026-07-21 00:00:00
123,Hipotesis diuji menggunakan analisis statistik.,The hypothesis is tested using statistical analysis.,2026-07-21 00:00:00
124,Hasil penelitian ini dipublikasikan di jurnal internasional.,The results of this study are published in an international journal.,2026-07-21 00:00:00
125,Daftar pustaka diletakkan di bagian akhir.,The bibliography is placed at the end.,2026-07-21 00:00:00
126,Pengumpulan data dilakukan melalui kuesioner.,Data collection is conducted through questionnaires.,2026-07-21 00:00:00
127,Sampel penelitian harus representatif.,The research sample must be representative.,2026-07-21 00:00:00
128,Tesis ini membahas tentang pembelajaran mesin.,This thesis discusses machine learning.,2026-07-21 00:00:00
129,Abstrak merangkum seluruh isi laporan.,The abstract summarizes the entire content of the report.,2026-07-21 00:00:00
130,Penelitian lanjutan diperlukan untuk validasi.,Further research is required for validation.,2026-07-21 00:00:00
131,Analisis kuantitatif menghasilkan data angka.,Quantitative analysis produces numerical data.,2026-07-21 00:00:00
132,Studi kasus dilakukan pada tiga sekolah.,The case study was conducted at three schools.,2026-07-21 00:00:00
133,Kesimpulan menjawab tujuan penelitian.,The conclusion answers the research objectives.,2026-07-21 00:00:00
134,Saran diberikan untuk perbaikan sistem.,Suggestions are provided for system improvement.,2026-07-21 00:00:00
135,Variabel bebas memengaruhi variabel terikat.,The independent variable influences the dependent variable.,2026-07-21 00:00:00
136,Etika penelitian harus dijunjung tinggi oleh peneliti.,Research ethics must be upheld by researchers.,2026-07-21 00:00:00
137,Kutipan langsung harus mencantumkan sumber.,Direct citations must state the source.,2026-07-21 00:00:00
138,Plagiarisme adalah pelanggaran akademik berat.,Plagiarism is a serious academic offense.,2026-07-21 00:00:00
139,Sidang tugas akhir diadakan bulan depan.,The final project defense is held next month.,2026-07-21 00:00:00
140,Dosen pembimbing memberikan banyak masukan.,The advisor provides a lot of input.,2026-07-21 00:00:00
141,Kopi arabika memiliki aroma yang sangat harum.,Arabica coffee has a very fragrant aroma.,2026-07-21 00:00:00
142,Anak-anak bermain layang-layang di lapangan.,Children play kites in the field.,2026-07-21 00:00:00
143,Ibu memasak sup ayam di dapur.,Mother cooks chicken soup in the kitchen.,2026-07-21 00:00:00
144,Ayah membaca koran sambil minum teh hangat.,Father reads the newspaper while drinking warm tea.,2026-07-21 00:00:00
145,Kereta komuter selalu penuh di pagi hari.,The commuter train is always full in the morning.,2026-07-21 00:00:00
146,Kami merayakan hari kemerdekaan setiap agustus.,We celebrate independence day every August.,2026-07-21 00:00:00
147,Pasar tradisional menjual sayuran segar.,The traditional market sells fresh vegetables.,2026-07-21 00:00:00
148,Toko buku itu buka dari jam delapan pagi.,The bookstore is open from eight in the morning.,2026-07-21 00:00:00
149,Saya membeli sepatu baru untuk sekolah.,I bought new shoes for school.,2026-07-21 00:00:00
150,Kucing hitam itu memanjat pohon mangga.,The black cat climbed the mango tree.,2026-07-21 00:00:00
151,Adik sedang menggambar pemandangan gunung.,Little sibling is drawing a mountain scenery.,2026-07-21 00:00:00
152,Mereka bermain sepak bola di bawah hujan.,They play soccer under the rain.,2026-07-21 00:00:00
153,Pertunjukan musik itu sangat meriah.,The music performance was very lively.,2026-07-21 00:00:00
154,Kami menanam bunga mawar di kebun depan.,We plant roses in the front garden.,2026-07-21 00:00:00
155,Udara pegunungan sangat sejuk dan segar.,The mountain air is very cool and fresh.,2026-07-21 00:00:00
156,Jalan raya sangat macet saat jam pulang kerja.,The highway is very congested during rush hour.,2026-07-21 00:00:00
157,Lampu lalu lintas di perempatan mati.,The traffic light at the intersection is broken.,2026-07-21 00:00:00
158,Kami mengunjungi nenek di desa akhir pekan lalu.,We visited grandmother in the village last weekend.,2026-07-21 00:00:00
159,Museum itu menyimpan koleksi benda bersejarah.,The museum stores a collection of historical objects.,2026-07-21 00:00:00
160,Lukisan dinding itu dibuat oleh seniman lokal.,The wall painting was made by a local artist.,2026-07-21 00:00:00
161,Gelas kaca itu pecah karena jatuh dari meja.,The glass cup broke because it fell from the table.,2026-07-21 00:00:00
162,Kami menyalakan lampu karena hari sudah gelap.,We turned on the light because it was already dark.,2026-07-21 00:00:00
163,Pencuri itu ditangkap oleh polisi kemarin malam.,The thief was caught by the police last night.,2026-07-21 00:00:00
164,Buku catatan saya tertinggal di kelas.,My notebook was left in the classroom.,2026-07-21 00:00:00
165,Kami selalu berdiskusi untuk menyelesaikan masalah.,We always discuss to solve problems.,2026-07-21 00:00:00
166,Air sungai itu sangat jernih dan dingin.,The river water is very clear and cold.,2026-07-21 00:00:00
167,Burung-burung berkicau merdu di pagi hari.,Birds chirp melodiously in the morning.,2026-07-21 00:00:00
168,Kami membutuhkan lemari baru untuk baju.,We need a new wardrobe for clothes.,2026-07-21 00:00:00
169,Kunci rumah saya hilang entah di mana.,My house key is lost somewhere.,2026-07-21 00:00:00
170,Jendela kamar harus dibuka agar udara segar masuk.,The room window must be opened so fresh air enters.,2026-07-21 00:00:00
171,Pekerjaan rumah matematika sangat sulit.,The mathematics homework is very difficult.,2026-07-21 00:00:00
172,Kakak perempuan saya bekerja di bank swasta.,My older sister works in a private bank.,2026-07-21 00:00:00
173,Paman saya mengajar sejarah di universitas.,My uncle teaches history at the university.,2026-07-21 00:00:00
174,Sepeda motor baru itu berwarna merah terang.,The new motorcycle is bright red.,2026-07-21 00:00:00
175,Kami berenang di kolam renang umum.,We swam in the public swimming pool.,2026-07-21 00:00:00
176,Tolong matikan televisi jika tidak ditonton.,Please turn off the television if not watched.,2026-07-21 00:00:00
177,Mereka sedang membangun jembatan baru.,They are building a new bridge.,2026-07-21 00:00:00
178,Banjir melanda beberapa wilayah kota.,Floods hit several areas of the city.,2026-07-21 00:00:00
179,Petani menanam padi di sawah.,Farmers plant rice in the paddy fields.,2026-07-21 00:00:00
180,Nelayan pergi melaut pada malam hari.,Fishermen go to sea at night.,2026-07-21 00:00:00
181,Saya ingin menabung uang di bank.,I want to save money in the bank.,2026-07-21 00:00:00
182,Kursi kayu itu sangat kokoh.,The wooden chair is very sturdy.,2026-07-21 00:00:00
183,Kami membuat kue bolu cokelat bersama ibu.,We made chocolate sponge cake with mother.,2026-07-21 00:00:00
184,Adik menangis karena mainannya rusak.,Little sibling cried because their toy was broken.,2026-07-21 00:00:00
185,Pencarian informasi sekarang sangat mudah dengan internet.,Searching for information is now very easy with the internet.,2026-07-21 00:00:00
186,Kami menonton film dokumenter tentang sejarah dinosaurus.,We watched a documentary film about dinosaur history.,2026-07-21 00:00:00
187,Kakek suka membaca buku sastra kuno.,Grandfather likes to read ancient literature books.,2026-07-21 00:00:00
188,Pintu gerbang sekolah ditutup jam tujuh pagi.,The school gate is closed at seven in the morning.,2026-07-21 00:00:00
189,Kami membersihkan rumah bersama setiap hari minggu.,We clean the house together every Sunday.,2026-07-21 00:00:00
190,Kakak laki-laki saya gemar bermain gitar.,My older brother likes playing guitar.,2026-07-21 00:00:00
191,Saya membeli buah apel merah di supermarket.,I bought red apples at the supermarket.,2026-07-21 00:00:00
192,Suara musik dari tetangga sangat bising.,The music sound from the neighbor is very noisy.,2026-07-21 00:00:00
193,Kami menggunakan kompor gas untuk memasak.,We use a gas stove to cook.,2026-07-21 00:00:00
194,Sepatu olahraga ini sangat ringan dipakai.,These sports shoes are very light to wear.,2026-07-21 00:00:00
195,Pemerintah membangun jalan tol baru.,The government builds a new toll road.,2026-07-21 00:00:00
196,Hujan deras disertai angin kencang merusak atap.,Heavy rain with strong wind damaged the roof.,2026-07-21 00:00:00
197,Kami merayakan kelulusan kakak minggu depan.,We celebrate older sibling's graduation next week.,2026-07-21 00:00:00
198,Anak kucing itu manja sekali.,The kitten is very affectionate.,2026-07-21 00:00:00
199,Saya minum teh chamomile sebelum tidur malam.,I drink chamomile tea before sleeping at night.,2026-07-21 00:00:00
200,Kami menaruh tempat sampah di depan rumah.,We put a trash bin in front of the house.,2026-07-21 00:00:00
201,Udara malam ini terasa sangat dingin sekali.,The air tonight feels very cold indeed.,2026-07-21 00:00:00
202,Bunga anggrek itu mekar dengan indah sekali.,The orchid flower blooms very beautifully indeed.,2026-07-21 00:00:00
